Orthogroup	protein_3	protein
OG0000531	WP_154803932.1	WP_012679399.1
OG0000532	WP_154803914.1	WP_012679435.1
OG0000533	WP_154803881.1	WP_012679454.1
OG0000534	WP_012679532.1	WP_012679532.1
OG0000535	WP_154803807.1	WP_012679665.1
OG0000536	WP_043030971.1	WP_012679734.1
OG0000537	WP_154803743.1	WP_012679784.1
OG0000538	WP_043029897.1	WP_012679789.1
OG0000539	WP_021321067.1	WP_012679994.1
OG0000540	WP_154803587.1	WP_012680032.1
OG0000541	WP_043982966.1	WP_012680143.1
OG0000542	WP_014622072.1	WP_014622072.1
OG0000543	WP_154804260.1	WP_014622073.1
OG0000544	WP_154804259.1	WP_014622076.1
OG0000545	WP_014622078.1	WP_014622078.1
OG0000546	WP_012677182.1	WP_014622080.1
OG0000547	WP_154804256.1	WP_014622081.1
OG0000548	WP_043026861.1	WP_014622082.1
OG0000549	WP_154804254.1	WP_014622084.1
OG0000550	WP_232013901.1	WP_014622085.1
OG0000551	WP_232013967.1	WP_014622086.1
OG0000552	WP_154804252.1	WP_014622087.1
OG0000553	WP_154804251.1	WP_014622088.1
OG0000554	WP_154804250.1	WP_014622089.1
OG0000555	WP_014622090.1	WP_014622090.1
OG0000556	WP_154804249.1	WP_014622091.1
OG0000557	WP_154804248.1	WP_014622092.1
OG0000558	WP_154804247.1	WP_014622093.1
OG0000559	WP_043024878.1	WP_014622094.1
OG0000560	WP_154804246.1	WP_014622095.1
OG0000561	WP_012514711.1	WP_014622098.1
OG0000562	WP_043039891.1	WP_014622099.1
OG0000563	WP_014622100.1	WP_014622100.1
OG0000564	WP_043039892.1	WP_014622102.1
OG0000565	WP_154804245.1	WP_014622103.1
OG0000566	WP_154804244.1	WP_014622105.1
OG0000567	WP_154804240.1	WP_014622108.1
OG0000568	WP_172954524.1	WP_014622109.1
OG0000569	WP_012514732.1	WP_014622111.1
OG0000570	WP_021320247.1	WP_014622112.1
OG0000571	WP_012514745.1	WP_014622113.1
OG0000572	WP_154804237.1	WP_014622116.1
OG0000573	WP_154804236.1	WP_014622117.1
OG0000574	WP_012514755.1	WP_014622118.1
OG0000575	WP_021320252.1	WP_014622123.1
OG0000576	WP_154804234.1	WP_014622126.1
OG0000577	WP_172954523.1	WP_014622127.1
OG0000578	WP_043051863.1	WP_014622130.1
OG0000579	WP_014622142.1	WP_014622142.1
OG0000580	WP_042669824.1	WP_014622144.1
OG0000581	WP_154804226.1	WP_014622145.1
OG0000582	WP_043024962.1	WP_014622146.1
OG0000583	WP_154804224.1	WP_014622147.1, WP_148255834.1
OG0000584	WP_154804223.1	WP_014622149.1
OG0000585	WP_012514792.1	WP_014622150.1
OG0000586	WP_154804221.1	WP_014622151.1
OG0000587	WP_154804220.1	WP_014622152.1
OG0000588	WP_138118663.1	WP_014622154.1
OG0000589	WP_154804216.1	WP_014622162.1
OG0000590	WP_043983903.1	WP_014622173.1
OG0000591	WP_043038404.1	WP_014622174.1
OG0000592	WP_154804215.1	WP_014622175.1
OG0000593	WP_012514818.1	WP_014622176.1
OG0000594	WP_154804214.1	WP_014622177.1
OG0000595	WP_012514821.1	WP_014622178.1
OG0000596	WP_154804212.1	WP_014622179.1
OG0000597	WP_154804211.1	WP_014622180.1
OG0000598	WP_154804210.1	WP_014622181.1
OG0000599	WP_042669866.1	WP_014622184.1
OG0000600	WP_154804205.1	WP_014622186.1
OG0000601	WP_154804204.1	WP_014622187.1
OG0000602	WP_154804203.1	WP_014622190.1
OG0000603	WP_154804202.1	WP_014622191.1
OG0000604	WP_043052666.1	WP_014622194.1
OG0000605	WP_154804200.1	WP_014622198.1
OG0000606	WP_012677293.1	WP_014622206.1
OG0000607	WP_012678935.1	WP_014622208.1
OG0000608	WP_154804196.1	WP_014622209.1
OG0000609	WP_012678937.1	WP_014622210.1
OG0000610	WP_154804188.1	WP_014622214.1
OG0000611	WP_154804417.1	WP_014622225.1
OG0000612	WP_043029307.1	WP_014622227.1
OG0000613	WP_154804183.1	WP_014622228.1
OG0000614	WP_138083036.1	WP_014622229.1
OG0000615	WP_154804182.1	WP_014622230.1
OG0000616	WP_154804180.1	WP_014622231.1
OG0000617	WP_154803860.1	WP_014622232.1
OG0000618	WP_154804179.1	WP_014622233.1
OG0000619	WP_012678595.1	WP_014622237.1
OG0000620	WP_154804176.1	WP_014622239.1
OG0000621	WP_154804174.1	WP_014622240.1
OG0000622	WP_227687772.1	WP_014622241.1
OG0000623	WP_043038493.1	WP_014622254.1
OG0000624	WP_154804152.1	WP_014622256.1
OG0000625	WP_154804151.1	WP_014622258.1
OG0000626	WP_154804150.1	WP_014622259.1
OG0000627	WP_154804149.1	WP_014622260.1
OG0000628	WP_021320337.1	WP_014622261.1
OG0000629	WP_014622263.1	WP_014622263.1
OG0000630	WP_014622264.1	WP_014622264.1
OG0000631	WP_043029327.1	WP_014622266.1
OG0000632	WP_012678559.1	WP_014622267.1
OG0000633	WP_043983846.1	WP_014622269.1
OG0000634	WP_154804145.1	WP_014622270.1
OG0000635	WP_014622273.1	WP_014622273.1
OG0000636	WP_012514935.1	WP_014622275.1
OG0000637	WP_021320347.1	WP_014622277.1
OG0000638	WP_154804142.1	WP_014622279.1
OG0000639	WP_012514943.1	WP_014622280.1
OG0000640	WP_014622281.1	WP_014622281.1
OG0000641	WP_154804139.1	WP_014622283.1
OG0000642	WP_154804138.1	WP_014622284.1
OG0000643	WP_014622285.1	WP_014622285.1
OG0000644	WP_042670024.1	WP_014622286.1
OG0000645	WP_021320358.1	WP_014622290.1
OG0000646	WP_154804133.1	WP_014622296.1
OG0000647	WP_111677739.1	WP_014622300.1
OG0000648	WP_043051934.1	WP_014622301.1
OG0000649	WP_012678516.1	WP_014622303.1
OG0000650	WP_154804132.1	WP_014622304.1
OG0000651	WP_111710296.1	WP_014622307.1
OG0000652	WP_154804130.1	WP_014622311.1
OG0000653	WP_154804129.1	WP_014622313.1
OG0000654	WP_154804126.1	WP_014622317.1
OG0000655	WP_154804124.1	WP_014622324.1
OG0000656	WP_154804123.1	WP_014622325.1
OG0000657	WP_111692197.1	WP_014622330.1
OG0000658	WP_111692198.1	WP_014622331.1
OG0000659	WP_154804120.1	WP_014622332.1
OG0000660	WP_154804115.1	WP_014622335.1
OG0000661	WP_154804112.1	WP_014622340.1
OG0000662	WP_138118794.1	WP_014622341.1
OG0000663	WP_138118796.1	WP_014622342.1
OG0000664	WP_012678470.1	WP_014622346.1
OG0000665	WP_154804108.1	WP_014622348.1
OG0000666	WP_043040133.1	WP_014622350.1
OG0000667	WP_014622351.1	WP_014622351.1
OG0000668	WP_154804106.1	WP_014622352.1
OG0000669	WP_012678462.1	WP_014622353.1
OG0000670	WP_012678461.1	WP_014622354.1
OG0000671	WP_014622356.1	WP_014622356.1
OG0000672	WP_154804105.1	WP_014622357.1
OG0000673	WP_041785294.1	WP_014622359.1
OG0000674	WP_012679076.1	WP_014622360.1
OG0000675	WP_014622362.1	WP_014622362.1
OG0000676	WP_043040138.1	WP_014622363.1
OG0000677	WP_014622364.1	WP_014622364.1
OG0000678	WP_043040141.1	WP_014622365.1
OG0000679	WP_012678446.1	WP_014622366.1
OG0000680	WP_154804104.1	WP_014622367.1
OG0000681	WP_138118820.1	WP_014622368.1
OG0000682	WP_154804103.1	WP_014622369.1
OG0000683	WP_154804102.1	WP_014622370.1
OG0000684	WP_041790741.1	WP_014622371.1
OG0000685	WP_021320419.1	WP_014622375.1
OG0000686	WP_043040146.1	WP_014622376.1
OG0000687	WP_037580088.1	WP_014622377.1
OG0000688	WP_154804100.1	WP_014622378.1
OG0000689	WP_154804099.1	WP_014622379.1
OG0000690	WP_014622380.1	WP_014622380.1
OG0000691	WP_012679097.1	WP_014622382.1
OG0000692	WP_012515089.1	WP_014622386.1
OG0000693	WP_154804097.1	WP_014622388.1
OG0000694	WP_041790558.1	WP_014622391.1
OG0000695	WP_080004853.1	WP_014622392.1
OG0000696	WP_154804095.1	WP_014622395.1
OG0000697	WP_154804092.1	WP_014622398.1
OG0000698	WP_014622401.1	WP_014622401.1
OG0000699	WP_154804090.1	WP_014622402.1
OG0000700	WP_154804089.1	WP_014622403.1
OG0000701	WP_231197128.1	WP_014622404.1
OG0000702	WP_154804088.1	WP_014622406.1
OG0000703	WP_154804086.1	WP_014622407.1
OG0000704	WP_154804084.1	WP_014622409.1
OG0000705	WP_154804083.1	WP_014622412.1
OG0000706	WP_154804082.1	WP_014622413.1
OG0000707	WP_154804081.1	WP_014622414.1
OG0000708	WP_154804080.1	WP_014622419.1
OG0000709	WP_154804079.1	WP_014622422.1
OG0000710	WP_043983761.1	WP_014622423.1
OG0000711	WP_021320450.1	WP_014622424.1
OG0000712	WP_043040196.1	WP_014622426.1
OG0000713	WP_043040197.1	WP_014622427.1
OG0000714	WP_043040198.1	WP_014622428.1
OG0000715	WP_014622429.1	WP_014622429.1
OG0000716	WP_043025364.1	WP_014622433.1
OG0000717	WP_154804076.1	WP_014622434.1
OG0000718	WP_014622436.1	WP_014622436.1
OG0000719	WP_154804075.1	WP_014622437.1
OG0000720	WP_043040206.1	WP_014622438.1
OG0000721	WP_154804074.1	WP_014622441.1
OG0000722	WP_024273139.1	WP_014622445.1
OG0000723	WP_012515168.1	WP_014622446.1
OG0000724	WP_043052823.1	WP_014622448.1
OG0000725	WP_014622450.1	WP_014622450.1
OG0000726	WP_154804069.1	WP_014622458.1
OG0000727	WP_154804068.1	WP_014622459.1
OG0000728	WP_154804063.1, WP_154804066.1	WP_014622466.1
OG0000729	WP_014622479.1	WP_014622479.1
OG0000730	WP_154804051.1	WP_014622481.1
OG0000731	WP_111692274.1	WP_014622482.1
OG0000732	WP_043052850.1	WP_014622483.1
OG0000733	WP_111692275.1	WP_014622484.1
OG0000734	WP_014622486.1	WP_014622486.1
OG0000735	WP_012679153.1	WP_014622487.1
OG0000736	WP_154804050.1	WP_014622488.1
OG0000737	WP_043983725.1	WP_014622489.1
OG0000738	WP_012515220.1	WP_014622490.1
OG0000739	WP_154804047.1	WP_014622491.1
OG0000740	WP_014622492.1	WP_014622492.1
OG0000741	WP_012679162.1	WP_014622493.1
OG0000742	WP_154804046.1	WP_014622494.1
OG0000743	WP_012515230.1	WP_014622497.1
OG0000744	WP_012515232.1	WP_014622498.1
OG0000745	WP_154804045.1	WP_014622501.1
OG0000746	WP_012679169.1	WP_014622502.1
OG0000747	WP_043040270.1	WP_014622503.1
OG0000748	WP_012678306.1	WP_014622504.1
OG0000749	WP_014622505.1	WP_014622505.1
OG0000750	WP_111677853.1	WP_014622506.1
OG0000751	WP_154804044.1	WP_014622507.1
OG0000752	WP_043025456.1	WP_014622508.1
OG0000753	WP_154804041.1	WP_014622512.1
OG0000754	WP_043036588.1	WP_014622513.1
OG0000755	WP_154804040.1	WP_014622515.1
OG0000756	WP_014622516.1	WP_014622516.1
OG0000757	WP_037579095.1	WP_014622519.1
OG0000758	WP_043038774.1	WP_014622521.1
OG0000759	WP_012515269.1	WP_014622524.1
OG0000760	WP_154804037.1	WP_014622526.1
OG0000761	WP_012678275.1	WP_014622531.1
OG0000762	WP_154804031.1	WP_014622534.1
OG0000763	WP_154804030.1	WP_014622535.1
OG0000764	WP_154804029.1	WP_014622538.1
OG0000765	WP_111677873.1	WP_014622539.1
OG0000766	WP_042670319.1	WP_014622541.1
OG0000767	WP_043030608.1	WP_014622542.1
OG0000768	WP_043030609.1	WP_014622543.1
OG0000769	WP_154804407.1	WP_014622544.1
OG0000770	WP_024273155.1	WP_014622545.1
OG0000771	WP_043025510.1	WP_014622548.1
OG0000772	WP_154804025.1	WP_014622549.1
OG0000773	WP_154804024.1	WP_014622550.1
OG0000774	WP_012515307.1	WP_014622552.1
OG0000775	WP_037578452.1	WP_014622554.1
OG0000776	WP_012515311.1	WP_014622556.1
OG0000777	WP_154804021.1	WP_014622557.1
OG0000778	WP_154804020.1	WP_014622560.1
OG0000779	WP_154804019.1	WP_014622563.1
OG0000780	WP_154804018.1	WP_014622565.1
OG0000781	WP_012515321.1	WP_014622566.1
OG0000782	WP_154804017.1	WP_014622568.1
OG0000783	WP_154804016.1	WP_014622570.1
OG0000784	WP_154804015.1	WP_014622571.1
OG0000785	WP_154804014.1	WP_014622572.1
OG0000786	WP_012679236.1	WP_014622573.1
OG0000787	WP_154804012.1	WP_014622575.1
OG0000788	WP_014622577.1	WP_014622577.1
OG0000789	WP_154804011.1	WP_014622580.1
OG0000790	WP_154804010.1	WP_014622582.1
OG0000791	WP_115267003.1	WP_014622583.1
OG0000792	WP_014622584.1	WP_014622584.1
OG0000793	WP_154804009.1	WP_014622585.1
OG0000794	WP_154804008.1	WP_014622587.1
OG0000795	WP_012515342.1	WP_014622588.1
OG0000796	WP_014622641.1	WP_014622641.1
OG0000797	WP_014622654.1	WP_014622654.1
OG0000798	WP_154803971.1	WP_014622655.1
OG0000799	WP_154803970.1	WP_014622656.1
OG0000800	WP_012515346.1	WP_014622658.1
OG0000801	WP_154803968.1	WP_014622659.1
OG0000802	WP_154803967.1	WP_014622660.1
OG0000803	WP_154803965.1	WP_014622663.1
OG0000804	WP_154803963.1	WP_014622665.1
OG0000805	WP_154803960.1	WP_014622671.1
OG0000806	WP_154803959.1	WP_014622672.1
OG0000807	WP_012679287.1	WP_014622674.1
OG0000808	WP_154803957.1	WP_014622675.1
OG0000809	WP_012678162.1	WP_014622677.1
OG0000810	WP_154803955.1	WP_014622679.1
OG0000811	WP_012679351.1	WP_014622680.1
OG0000812	WP_154803954.1	WP_014622681.1
OG0000813	WP_154803953.1	WP_014622682.1
OG0000814	WP_154803951.1	WP_014622683.1
OG0000815	WP_154803949.1	WP_014622685.1
OG0000816	WP_012678150.1	WP_014622687.1
OG0000817	WP_014622688.1	WP_014622688.1
OG0000818	WP_012678148.1	WP_014622689.1
OG0000819	WP_012678147.1	WP_014622690.1
OG0000820	WP_012678145.1	WP_014622692.1
OG0000821	WP_154803948.1	WP_014622693.1
OG0000822	WP_043038867.1	WP_014622694.1
OG0000823	WP_172954537.1	WP_014622696.1
OG0000824	WP_154803947.1	WP_014622699.1
OG0000825	WP_021320623.1	WP_014622701.1
OG0000826	WP_021320626.1	WP_014622704.1
OG0000827	WP_014622708.1	WP_014622708.1
OG0000828	WP_154803942.1	WP_014622710.1
OG0000829	WP_154803940.1	WP_014622714.1
OG0000830	WP_154803938.1	WP_014622716.1
OG0000831	WP_154803937.1	WP_014622717.1
OG0000832	WP_154804398.1	WP_014622718.1
OG0000833	WP_154803936.1	WP_014622719.1
OG0000834	WP_012679391.1	WP_014622722.1
OG0000835	WP_021320644.1	WP_014622723.1
OG0000836	WP_012678110.1	WP_014622724.1
OG0000837	WP_154803934.1	WP_014622727.1
OG0000838	WP_014622728.1	WP_014622728.1
OG0000839	WP_154803933.1	WP_014622731.1
OG0000840	WP_042670508.1	WP_014622732.1
OG0000841	WP_154803931.1	WP_014622733.1
OG0000842	WP_154803925.1	WP_014622741.1
OG0000843	WP_021320659.1	WP_014622742.1
OG0000844	WP_012679410.1	WP_014622743.1
OG0000845	WP_012678089.1	WP_014622745.1
OG0000846	WP_154803923.1	WP_014622746.1
OG0000847	WP_269204860.1	WP_014622747.1
OG0000848	WP_154803920.1	WP_014622750.1
OG0000849	WP_012515463.1	WP_014622751.1
OG0000850	WP_021320666.1	WP_014622752.1
OG0000851	WP_012515465.1	WP_014622753.1
OG0000852	WP_154804397.1	WP_014622754.1
OG0000853	WP_043983631.1	WP_014622756.1
OG0000854	WP_154803919.1	WP_014622757.1
OG0000855	WP_012679424.1	WP_014622758.1
OG0000856	WP_042670534.1	WP_014622759.1
OG0000857	WP_154803918.1	WP_014622760.1
OG0000858	WP_012679428.1	WP_014622761.1
OG0000859	WP_012515477.1	WP_014622762.1
OG0000860	WP_154803916.1	WP_014622764.1
OG0000861	WP_154803915.1	WP_014622765.1
OG0000862	WP_012678064.1	WP_014622768.1
OG0000863	WP_012515488.1	WP_014622769.1
OG0000864	WP_154803911.1	WP_014622771.1
OG0000865	WP_154803910.1	WP_014622772.1
OG0000866	WP_012679442.1	WP_014622773.1
OG0000867	WP_154803909.1	WP_014622774.1
OG0000868	WP_012515497.1	WP_014622775.1
OG0000869	WP_111721670.1	WP_014622776.1
OG0000870	WP_154803908.1	WP_014622777.1
OG0000871	WP_043053034.1	WP_014622789.1
OG0000872	WP_042670570.1	WP_014622790.1
OG0000873	WP_154803880.1	WP_014622793.1
OG0000874	WP_012515522.1	WP_014622795.1
OG0000875	WP_043025758.1	WP_014622796.1
OG0000876	WP_012678035.1	WP_014622797.1
OG0000877	WP_154803879.1	WP_014622798.1
OG0000878	WP_043053039.1	WP_014622799.1
OG0000879	WP_154803877.1	WP_014622800.1
OG0000880	WP_154803876.1	WP_014622801.1
OG0000881	WP_154803874.1	WP_014622803.1
OG0000882	WP_154803873.1	WP_014622804.1
OG0000883	WP_154803872.1	WP_014622805.1
OG0000884	WP_043983579.1	WP_014622806.1
OG0000885	WP_012678022.1	WP_014622808.1
OG0000886	WP_154803870.1	WP_014622811.1
OG0000887	WP_154803869.1	WP_014622812.1
OG0000888	WP_154803865.1	WP_014622823.1
OG0000889	WP_012515561.1	WP_014622824.1
OG0000890	WP_012515562.1	WP_014622825.1
OG0000891	WP_012515567.1	WP_014622827.1
OG0000892	WP_012677998.1	WP_014622830.1
OG0000893	WP_042670602.1	WP_014622831.1
OG0000894	WP_154803863.1	WP_014622832.1
OG0000895	WP_111721680.1	WP_014622835.1
OG0000896	WP_012515578.1	WP_014622836.1
OG0000897	WP_154803861.1	WP_014622838.1
OG0000898	WP_043030782.1	WP_014622840.1
OG0000899	WP_012515587.1	WP_014622841.1
OG0000900	WP_154803856.1	WP_014622842.1
OG0000901	WP_012677976.1	WP_014622846.1
OG0000902	WP_043025821.1	WP_014622851.1
OG0000903	WP_043029707.1	WP_014622852.1
OG0000904	WP_154803847.1	WP_014622854.1
OG0000905	WP_042670638.1	WP_014622855.1
OG0000906	WP_111690113.1	WP_014622856.1
OG0000907	WP_154803846.1	WP_014622859.1
OG0000908	WP_154804391.1	WP_014622860.1
OG0000909	WP_154803845.1	WP_014622861.1
OG0000910	WP_012677956.1	WP_014622862.1
OG0000911	WP_012515626.1	WP_014622864.1
OG0000912	WP_012677953.1	WP_014622866.1
OG0000914	WP_154803842.1	WP_014622887.1
OG0000915	WP_154803840.1	WP_014622889.1
OG0000916	WP_014622892.1	WP_014622892.1
OG0000917	WP_154803838.1	WP_014622893.1
OG0000918	WP_012515647.1	WP_014622895.1
OG0000919	WP_154803837.1	WP_014622896.1
OG0000920	WP_021320793.1	WP_014622897.1
OG0000921	WP_012515650.1	WP_014622898.1
OG0000922	WP_012515651.1	WP_014622899.1
OG0000923	WP_012515652.1	WP_014622900.1
OG0000924	WP_154803834.1	WP_014622907.1
OG0000925	WP_012677915.1	WP_014622909.1
OG0000926	WP_021320797.1	WP_014622910.1
OG0000927	WP_014622912.1	WP_014622912.1
OG0000928	WP_154803833.1	WP_014622914.1
OG0000929	WP_043030825.1	WP_014622916.1
OG0000930	WP_154803832.1	WP_014622917.1
OG0000931	WP_154803831.1	WP_014622919.1
OG0000932	WP_012677905.1	WP_014622920.1
OG0000933	WP_012515679.1	WP_014622922.1
OG0000934	WP_043053123.1	WP_014622923.1
OG0000935	WP_012677899.1	WP_014622924.1
OG0000936	WP_154804388.1	WP_014622925.1
OG0000937	WP_154803830.1	WP_014622926.1
OG0000938	WP_043039005.1	WP_014622928.1
OG0000939	WP_154803828.1	WP_014622929.1
OG0000940	WP_154803827.1	WP_014622931.1
OG0000941	WP_154803825.1	WP_014622933.1
OG0000942	WP_042670718.1	WP_014622940.1
OG0000943	WP_043053132.1	WP_014622941.1
OG0000944	WP_154803823.1	WP_014622944.1
OG0000945	WP_154803822.1	WP_014622945.1
OG0000946	WP_012515704.1	WP_014622946.1
OG0000947	WP_154803821.1	WP_014622947.1
OG0000948	WP_021320822.1	WP_014622949.1
OG0000949	WP_154803820.1	WP_014622951.1
OG0000950	WP_154803818.1	WP_014622953.1
OG0000951	WP_014622955.1	WP_014622955.1
OG0000952	WP_043025924.1	WP_014622962.1
OG0000953	WP_154803814.1	WP_014622963.1
OG0000954	WP_115266858.1	WP_014622964.1
OG0000955	WP_154803813.1	WP_014622966.1
OG0000956	WP_042670749.1	WP_014622967.1
OG0000957	WP_012677861.1	WP_014622968.1
OG0000958	WP_154803812.1	WP_014622969.1
OG0000959	WP_014622975.1	WP_014622975.1
OG0000960	WP_014622976.1	WP_014622976.1
OG0000961	WP_012515742.1	WP_014622979.1
OG0000962	WP_012677849.1	WP_014622980.1
OG0000963	WP_043030889.1	WP_014622982.1
OG0000964	WP_154803806.1	WP_014622985.1
OG0000965	WP_012677842.1	WP_014622986.1
OG0000966	WP_154803805.1	WP_014622987.1
OG0000967	WP_043029806.1	WP_014622990.1
OG0000968	WP_012515760.1	WP_014622994.1
OG0000969	WP_154803803.1	WP_014622995.1
OG0000970	WP_021320852.1	WP_014622996.1
OG0000971	WP_111710617.1	WP_014622999.1
OG0000972	WP_154803801.1	WP_014623000.1
OG0000973	WP_111690176.1	WP_014623002.1
OG0000974	WP_154803800.1	WP_014623004.1
OG0000975	WP_154803798.1	WP_014623005.1
OG0000976	WP_012515773.1	WP_014623006.1
OG0000977	WP_154803797.1	WP_014623007.1
OG0000978	WP_154803795.1	WP_014623010.1
OG0000979	WP_012515779.1	WP_014623011.1
OG0000980	WP_138119422.1	WP_014623016.1
OG0000981	WP_111690181.1	WP_014623018.1
OG0000982	WP_043036979.1	WP_014623019.1
OG0000983	WP_012677809.1	WP_014623020.1
OG0000984	WP_111710623.1	WP_014623021.1
OG0000985	WP_154803792.1	WP_014623022.1
OG0000986	WP_043039066.1	WP_014623025.1
OG0000987	WP_154803791.1	WP_014623026.1
OG0000988	WP_014623027.1	WP_014623027.1
OG0000989	WP_154803789.1	WP_014623032.1
OG0000990	WP_012515812.1	WP_014623036.1
OG0000991	WP_111692541.1	WP_014623037.1
OG0000992	WP_154803785.1	WP_014623038.1
OG0000993	WP_138119440.1	WP_014623039.1
OG0000994	WP_014623041.1	WP_014623041.1
OG0000995	WP_154803783.1	WP_014623042.1
OG0000996	WP_154803782.1	WP_014623043.1
OG0000997	WP_154803780.1	WP_014623044.1
OG0000998	WP_037581982.1	WP_014623045.1
OG0000999	WP_154803778.1	WP_014623047.1
OG0001000	WP_043029849.1	WP_014623049.1
OG0001001	WP_012677767.1	WP_014623051.1
OG0001002	WP_014623052.1	WP_014623052.1
OG0001003	WP_043026018.1	WP_014623053.1
OG0001004	WP_043983370.1	WP_014623055.1
OG0001005	WP_043983368.1	WP_014623056.1
OG0001006	WP_154803777.1	WP_014623057.1
OG0001007	WP_154803776.1	WP_014623058.1
OG0001008	WP_154803775.1	WP_014623059.1
OG0001009	WP_154803773.1	WP_014623061.1
OG0001010	WP_154803771.1	WP_014623063.1
OG0001011	WP_042670830.1	WP_014623065.1
OG0001012	WP_043029859.1	WP_014623066.1
OG0001013	WP_154803769.1	WP_014623067.1
OG0001014	WP_111710642.1	WP_014623068.1
OG0001015	WP_012677753.1	WP_014623069.1
OG0001016	WP_154803768.1	WP_014623070.1
OG0001017	WP_154803767.1	WP_014623071.1
OG0001018	WP_014623075.1	WP_014623075.1
OG0001019	WP_012677746.1	WP_014623076.1
OG0001020	WP_012677745.1	WP_014623077.1
OG0001021	WP_037581906.1	WP_014623078.1
OG0001022	WP_154803761.1	WP_014623080.1
OG0001023	WP_154803760.1	WP_014623081.1
OG0001024	WP_154803759.1	WP_014623082.1
OG0001025	WP_043039102.1	WP_014623083.1
OG0001026	WP_154803757.1	WP_014623085.1
OG0001027	WP_154803755.1	WP_014623087.1
OG0001028	WP_154803754.1	WP_014623088.1
OG0001029	WP_043983340.1	WP_014623093.1
OG0001030	WP_043983339.1	WP_014623095.1
OG0001031	WP_012677730.1	WP_014623096.1
OG0001032	WP_154803751.1	WP_014623104.1
OG0001033	WP_043052216.1	WP_014623105.1
OG0001034	WP_012677722.1	WP_014623106.1
OG0001035	WP_154803750.1	WP_014623107.1
OG0001036	WP_012515895.1	WP_014623109.1
OG0001037	WP_154803745.1	WP_014623115.1
OG0001038	WP_154803744.1	WP_014623116.1
OG0001039	WP_014623117.1	WP_014623117.1
OG0001040	WP_154803742.1	WP_014623118.1
OG0001041	WP_154803741.1	WP_014623119.1
OG0001042	WP_014623120.1	WP_014623120.1
OG0001043	WP_154803740.1	WP_014623122.1
OG0001044	WP_154803739.1	WP_014623129.1
OG0001045	WP_154803738.1	WP_014623130.1
OG0001046	WP_012677699.1	WP_014623131.1
OG0001047	WP_043040826.1	WP_014623132.1
OG0001048	WP_154803737.1	WP_014623133.1
OG0001049	WP_042670902.1	WP_014623135.1
OG0001050	WP_154803735.1	WP_014623136.1
OG0001051	WP_154803734.1	WP_014623137.1
OG0001052	WP_043052232.1	WP_014623138.1
OG0001053	WP_172954507.1	WP_014623149.1
OG0001054	WP_154803725.1	WP_014623152.1
OG0001055	WP_042670917.1	WP_014623153.1
OG0001056	WP_154803724.1	WP_014623154.1
OG0001057	WP_043026142.1	WP_014623157.1
OG0001058	WP_111692601.1	WP_014623160.1
OG0001059	WP_154803723.1	WP_014623161.1
OG0001060	WP_154803721.1	WP_014623163.1
OG0001061	WP_154803720.1	WP_014623164.1
OG0001062	WP_154803719.1	WP_014623165.1
OG0001063	WP_021320980.1	WP_014623168.1
OG0001064	WP_043052244.1	WP_014623169.1
OG0001065	WP_154803717.1	WP_014623173.1
OG0001066	WP_012677652.1	WP_014623174.1
OG0001067	WP_154803664.1	WP_014623181.1
OG0001068	WP_043052256.1	WP_014623187.1
OG0001069	WP_012677636.1	WP_014623188.1
OG0001070	WP_012677634.1	WP_014623189.1
OG0001071	WP_043040863.1	WP_014623190.1
OG0001072	WP_154803662.1	WP_014623191.1
OG0001073	WP_154803661.1	WP_014623192.1
OG0001074	WP_154803660.1	WP_014623194.1
OG0001075	WP_154803659.1	WP_014623195.1
OG0001076	WP_037581595.1	WP_014623196.1
OG0001077	WP_111692634.1	WP_014623197.1
OG0001078	WP_269471217.1	WP_014623201.1
OG0001079	WP_012677616.1	WP_014623203.1
OG0001080	WP_043052263.1	WP_014623204.1
OG0001081	WP_154803657.1	WP_014623205.1
OG0001082	WP_154803655.1	WP_014623212.1
OG0001083	WP_154803653.1	WP_014623215.1
OG0001084	WP_154803651.1	WP_014623221.1
OG0001085	WP_154803649.1	WP_014623224.1
OG0001086	WP_154803648.1	WP_014623225.1
OG0001087	WP_154803647.1	WP_014623226.1
OG0001088	WP_021321012.1	WP_014623227.1
OG0001089	WP_012679874.1	WP_014623228.1
OG0001090	WP_021321013.1	WP_014623229.1
OG0001091	WP_024273149.1	WP_014623234.1
OG0001092	WP_043039291.1	WP_038673964.1, WP_014623243.1
OG0001093	WP_024379177.1	WP_014623251.1
OG0001094	WP_154803565.1	WP_014623257.1, WP_014623491.1
OG0001095	WP_154803644.1	WP_014623276.1
OG0001096	WP_154803643.1	WP_014623277.1
OG0001097	WP_154803641.1	WP_014623278.1
OG0001098	WP_154803638.1	WP_014623281.1
OG0001099	WP_154803637.1	WP_014623282.1
OG0001100	WP_012516043.1	WP_014623283.1
OG0001101	WP_037579146.1	WP_014623284.1
OG0001102	WP_021321023.1	WP_014623285.1
OG0001103	WP_021321024.1	WP_014623286.1
OG0001104	WP_154803635.1	WP_014623289.1
OG0001105	WP_172954503.1	WP_014623290.1
OG0001106	WP_012677559.1	WP_014623293.1
OG0001107	WP_154803633.1	WP_014623294.1
OG0001108	WP_154804375.1	WP_014623295.1
OG0001109	WP_021321029.1	WP_014623296.1
OG0001110	WP_043026339.1	WP_014623297.1
OG0001111	WP_043026340.1	WP_014623298.1
OG0001112	WP_014623299.1	WP_014623299.1
