Orthogroup	Species	protein	Orthologs
OG0000197	protein_3	WP_012515088.1	WP_154804098.1
OG0000197	protein_2	WP_012515088.1	WP_012515088.1
OG0000198	protein_3	WP_012515093.1	WP_012515093.1
OG0000198	protein_2	WP_012515093.1	WP_012515093.1
OG0000199	protein_2	WP_012515100.1	WP_206156394.1
OG0000199	protein_3	WP_012515100.1	WP_154804094.1
OG0000200	protein_2	WP_012515101.1	WP_012515101.1
OG0000200	protein_3	WP_012515101.1	WP_037579628.1
OG0000201	protein_3	WP_012515102.1	WP_154804093.1
OG0000201	protein_2	WP_012515102.1	WP_043983773.1
OG0000202	protein_3	WP_012515107.1	WP_012515107.1
OG0000202	protein_2	WP_012515107.1	WP_012515107.1
OG0000203	protein_3	WP_012515113.1	WP_012515113.1
OG0000203	protein_2	WP_012515113.1	WP_012515113.1
OG0000204	protein_3	WP_012515114.1	WP_012515114.1
OG0000204	protein_2	WP_012515114.1	WP_043983767.1
OG0000205	protein_2	WP_012515116.1	WP_043029426.1
OG0000205	protein_3	WP_012515116.1	WP_154804087.1
OG0000206	protein_2	WP_012515120.1	WP_012515120.1
OG0000206	protein_3	WP_012515120.1	WP_012515120.1
OG0000207	protein_2	WP_012515121.1	WP_012515121.1
OG0000207	protein_3	WP_012515121.1	WP_021320440.1
OG0000208	protein_3	WP_012515132.1	WP_012515132.1
OG0000208	protein_2	WP_012515132.1	WP_012515132.1
OG0000209	protein_3	WP_012515137.1	WP_037581427.1
OG0000209	protein_2	WP_012515137.1	WP_012515137.1
OG0000210	protein_2	WP_012515154.1	WP_043983755.1
OG0000210	protein_3	WP_012515154.1	WP_111689912.1
OG0000211	protein_3	WP_012515158.1	WP_012515158.1
OG0000211	protein_2	WP_012515158.1	WP_012515158.1
OG0000212	protein_2	WP_012515166.1	WP_012515166.1
OG0000212	protein_3	WP_012515166.1	WP_012515166.1
OG0000213	protein_2	WP_012515178.1	WP_012515178.1
OG0000213	protein_3	WP_012515178.1	WP_012515178.1
OG0000214	protein_2	WP_012515184.1	WP_012515184.1
OG0000214	protein_3	WP_012515184.1	WP_012515184.1
OG0000215	protein_2	WP_012515211.1	WP_165623104.1
OG0000215	protein_3	WP_012515211.1	WP_012515211.1
OG0000216	protein_2	WP_012515214.1	WP_012515214.1
OG0000216	protein_3	WP_012515214.1	WP_043029466.1
OG0000217	protein_2	WP_012515215.1	WP_012515215.1
OG0000217	protein_3	WP_012515215.1	WP_012515215.1
OG0000218	protein_2	WP_012515218.1	WP_043029469.1
OG0000218	protein_3	WP_012515218.1	WP_154804049.1
OG0000219	protein_3	WP_012515219.1	WP_154804048.1
OG0000219	protein_2	WP_012515219.1	WP_126436451.1
OG0000220	protein_2	WP_012515231.1	WP_012515231.1
OG0000220	protein_3	WP_012515231.1	WP_012515231.1
OG0000221	protein_2	WP_012515235.1	WP_012515235.1
OG0000221	protein_3	WP_012515235.1	WP_012679167.1
OG0000222	protein_3	WP_012515244.1	WP_012515244.1
OG0000222	protein_2	WP_012515244.1	WP_206158979.1
OG0000223	protein_3	WP_012515246.1	WP_012515246.1
OG0000223	protein_2	WP_012515246.1	WP_012515246.1
OG0000224	protein_2	WP_012515249.1	WP_012515249.1
OG0000224	protein_3	WP_012515249.1	WP_012515249.1
OG0000225	protein_3	WP_012515260.1	WP_154804039.1
OG0000225	protein_2	WP_012515260.1	WP_043983712.1
OG0000226	protein_2	WP_012515261.1	WP_012515261.1
OG0000226	protein_3	WP_012515261.1	WP_012515261.1
OG0000227	protein_3	WP_012515270.1	WP_012515270.1
OG0000227	protein_2	WP_012515270.1	WP_012515270.1
OG0000228	protein_3	WP_012515278.1	WP_012515278.1
OG0000228	protein_2	WP_012515278.1	WP_206158982.1
OG0000229	protein_3	WP_012515284.1	WP_154804032.1
OG0000229	protein_2	WP_012515284.1	WP_012679200.1
OG0000230	protein_2	WP_012515299.1	WP_206158984.1
OG0000230	protein_3	WP_012515299.1	WP_043040314.1
OG0000231	protein_2	WP_012515300.1	WP_012515300.1
OG0000231	protein_3	WP_012515300.1	WP_154804026.1
OG0000232	protein_3	WP_012515313.1	WP_012515313.1
OG0000232	protein_2	WP_012515313.1	WP_012515313.1
OG0000233	protein_2	WP_012515316.1	WP_012678242.1
OG0000233	protein_3	WP_012515316.1	WP_012515316.1
OG0000234	protein_3	WP_012515336.1	WP_012679244.1
OG0000234	protein_2	WP_012515336.1	WP_043040353.1
OG0000235	protein_2	WP_012515369.1	WP_012515369.1
OG0000235	protein_3	WP_012515369.1	WP_012515369.1
OG0000236	protein_2	WP_012515374.1	WP_206156320.1
OG0000236	protein_3	WP_012515374.1	WP_154803952.1
OG0000237	protein_3	WP_012515383.1	WP_012678146.1
OG0000237	protein_2	WP_012515383.1	WP_012515383.1
OG0000238	protein_3	WP_012515391.1	WP_012515391.1
OG0000238	protein_2	WP_012515391.1	WP_021320621.1
OG0000239	protein_2	WP_012515394.1	WP_037578738.1
OG0000239	protein_3	WP_012515394.1	WP_037578738.1
OG0000240	protein_2	WP_012515399.1	WP_012515399.1
OG0000240	protein_3	WP_012515399.1	WP_012515399.1
OG0000241	protein_3	WP_012515405.1	WP_012678128.1
OG0000241	protein_2	WP_012515405.1	WP_012678128.1
OG0000242	protein_3	WP_012515409.1	WP_012515409.1
OG0000242	protein_2	WP_012515409.1	WP_012515409.1
OG0000243	protein_2	WP_012515423.1	WP_043025646.1
OG0000243	protein_3	WP_012515423.1	WP_043030685.1
OG0000244	protein_2	WP_012515426.1	WP_012515426.1
OG0000244	protein_3	WP_012515426.1	WP_012515426.1
OG0000245	protein_3	WP_012515427.1	WP_012515427.1
OG0000245	protein_2	WP_012515427.1	WP_206159002.1
OG0000246	protein_3	WP_012515430.1	WP_012515430.1
OG0000246	protein_2	WP_012515430.1	WP_012515430.1
OG0000247	protein_3	WP_012515431.1	WP_012515431.1
OG0000247	protein_2	WP_012515431.1	WP_012515431.1
OG0000248	protein_2	WP_012515458.1	WP_206159018.1
OG0000248	protein_3	WP_012515458.1	WP_154803924.1
OG0000249	protein_2	WP_012515487.1	WP_042670543.1
OG0000249	protein_3	WP_012515487.1	WP_154803913.1
OG0000250	protein_3	WP_012515489.1	WP_012515489.1
OG0000250	protein_2	WP_012515489.1	WP_012515489.1
OG0000251	protein_2	WP_012515490.1	WP_012515490.1
OG0000251	protein_3	WP_012515490.1	WP_012515490.1
OG0000252	protein_2	WP_012515499.1	WP_206159037.1
OG0000252	protein_3	WP_012515499.1	WP_012678053.1
OG0000253	protein_3	WP_012515506.1	WP_154803883.1
OG0000253	protein_2	WP_012515506.1	WP_206159052.1
OG0000254	protein_3	WP_012515507.1	WP_012515507.1
OG0000254	protein_2	WP_012515507.1	WP_111678035.1
OG0000255	protein_2	WP_012515508.1	WP_037578443.1
OG0000255	protein_3	WP_012515508.1	WP_012515508.1
OG0000256	protein_2	WP_012515510.1	WP_037578437.1
OG0000256	protein_3	WP_012515510.1	WP_012515510.1
OG0000257	protein_2	WP_012515511.1	WP_012515511.1
OG0000257	protein_3	WP_012515511.1	WP_012515511.1
OG0000258	protein_2	WP_012515523.1	WP_012515523.1
OG0000258	protein_3	WP_012515523.1	WP_012515523.1
OG0000259	protein_3	WP_012515542.1	WP_012515542.1
OG0000259	protein_2	WP_012515542.1	WP_012679475.1
OG0000260	protein_2	WP_012515548.1	WP_037578348.1
OG0000260	protein_3	WP_012515548.1	WP_021320708.1
OG0000261	protein_3	WP_012515563.1	WP_012515563.1
OG0000261	protein_2	WP_012515563.1	WP_206158614.1
OG0000262	protein_2	WP_012515564.1	WP_012515564.1
OG0000262	protein_3	WP_012515564.1	WP_012515564.1
OG0000263	protein_2	WP_012515565.1	WP_012515565.1
OG0000263	protein_3	WP_012515565.1	WP_012515565.1
OG0000264	protein_2	WP_012515566.1	WP_043025785.1
OG0000264	protein_3	WP_012515566.1	WP_041790451.1
OG0000265	protein_2	WP_012515586.1	WP_012515586.1
OG0000265	protein_3	WP_012515586.1	WP_154803857.1
OG0000266	protein_2	WP_012515603.1	WP_043983543.1
OG0000266	protein_3	WP_012515603.1	WP_012677974.1
OG0000267	protein_3	WP_012515611.1	WP_012515611.1
OG0000267	protein_2	WP_012515611.1	WP_206158632.1
OG0000268	protein_2	WP_012515616.1	WP_037581197.1
OG0000268	protein_3	WP_012515616.1	WP_012515616.1
OG0000269	protein_2	WP_012515617.1	WP_012515617.1
OG0000269	protein_3	WP_012515617.1	WP_012515617.1
OG0000270	protein_2	WP_012515624.1	WP_012515624.1
OG0000270	protein_3	WP_012515624.1	WP_012515624.1
OG0000271	protein_3	WP_012515629.1	WP_012515629.1
OG0000271	protein_2	WP_012515629.1	WP_043053094.1
OG0000272	protein_3	WP_012515634.1	WP_012515634.1
OG0000272	protein_2	WP_012515634.1	WP_206158640.1
OG0000273	protein_2	WP_012515639.1	WP_111678144.1
OG0000273	protein_3	WP_012515639.1	WP_154803839.1
OG0000274	protein_3	WP_012515644.1	WP_012515644.1
OG0000274	protein_2	WP_012515644.1	WP_012515644.1
OG0000275	protein_2	WP_012515646.1	WP_206158644.1
OG0000275	protein_3	WP_012515646.1	WP_012515646.1
OG0000276	protein_2	WP_012515653.1	WP_206158649.1
OG0000276	protein_3	WP_012515653.1	WP_012515653.1
OG0000277	protein_3	WP_012515655.1	WP_012515655.1
OG0000277	protein_2	WP_012515655.1	WP_012515655.1
OG0000278	protein_2	WP_012515660.1	WP_043029751.1
OG0000278	protein_3	WP_012515660.1	WP_154803835.1
OG0000279	protein_3	WP_012515666.1	WP_012515666.1
OG0000279	protein_2	WP_012515666.1	WP_012515666.1
OG0000280	protein_3	WP_012515669.1	WP_012515669.1
OG0000280	protein_2	WP_012515669.1	WP_012515669.1
OG0000281	protein_3	WP_012515672.1	WP_012677909.1
OG0000281	protein_2	WP_012515672.1	WP_206158655.1
OG0000282	protein_3	WP_012515690.1	WP_037581033.1
OG0000282	protein_2	WP_012515690.1	WP_115250988.1
OG0000283	protein_3	WP_012515696.1	WP_012515696.1
OG0000283	protein_2	WP_012515696.1	WP_012515696.1
OG0000284	protein_2	WP_012515710.1	WP_206152498.1
OG0000284	protein_3	WP_012515710.1	WP_043040660.1
OG0000285	protein_2	WP_012515728.1	WP_206152489.1
OG0000285	protein_3	WP_012515728.1	WP_012515728.1
OG0000286	protein_3	WP_012515734.1	WP_012515734.1
OG0000286	protein_2	WP_012515734.1	WP_012515734.1
OG0000287	protein_3	WP_012515737.1	WP_012515737.1
OG0000287	protein_2	WP_012515737.1	WP_012515737.1
OG0000288	protein_3	WP_012515744.1	WP_043030887.1
OG0000288	protein_2	WP_012515744.1	WP_012677848.1
OG0000289	protein_3	WP_012515752.1	WP_042670759.1
OG0000289	protein_2	WP_012515752.1	WP_012515752.1
OG0000290	protein_2	WP_012515759.1	WP_043040698.1
OG0000290	protein_3	WP_012515759.1	WP_012515759.1
OG0000291	protein_3	WP_012515795.1	WP_012515795.1
OG0000291	protein_2	WP_012515795.1	WP_012515795.1
OG0000292	protein_3	WP_012515814.1	WP_154803786.1
OG0000292	protein_2	WP_012515814.1	WP_012679715.1
OG0000293	protein_2	WP_012515820.1	WP_138119444.1
OG0000293	protein_3	WP_012515820.1	WP_154803784.1
OG0000294	protein_3	WP_012515822.1	WP_154803781.1
OG0000294	protein_2	WP_012515822.1	WP_138119446.1
OG0000295	protein_3	WP_012515862.1	WP_012515862.1
OG0000295	protein_2	WP_012515862.1	WP_012515862.1
OG0000296	protein_2	WP_012515872.1	WP_012515872.1
OG0000296	protein_3	WP_012515872.1	WP_012515872.1
OG0000297	protein_3	WP_012515875.1	WP_012515875.1
OG0000297	protein_2	WP_012515875.1	WP_012515875.1
OG0000298	protein_3	WP_012515888.1	WP_012515888.1
OG0000298	protein_2	WP_012515888.1	WP_043029880.1
OG0000299	protein_2	WP_012515894.1	WP_012515894.1
OG0000299	protein_3	WP_012515894.1	WP_154803749.1
OG0000300	protein_3	WP_012515910.1	WP_043026105.1
OG0000300	protein_2	WP_012515910.1	WP_043039121.1
OG0000301	protein_2	WP_012515923.1	WP_012515923.1
OG0000301	protein_3	WP_012515923.1	WP_012515923.1
OG0000302	protein_3	WP_012515937.1, WP_014623142.1	WP_154803731.1
OG0000303	protein_2	WP_012515948.1	WP_012515948.1
OG0000303	protein_3	WP_012515948.1	WP_012515948.1
OG0000304	protein_2	WP_012515957.1	WP_012515957.1
OG0000304	protein_3	WP_012515957.1	WP_012515957.1
OG0000305	protein_3	WP_012515958.1	WP_111692600.1
OG0000305	protein_2	WP_012515958.1	WP_012515958.1
OG0000306	protein_3	WP_012515968.1	WP_012515968.1
OG0000306	protein_2	WP_012515968.1	WP_042670938.1
OG0000307	protein_2	WP_012515994.1	WP_012677635.1
OG0000307	protein_3	WP_012515994.1	WP_154803663.1
OG0000308	protein_3	WP_012516008.1	WP_012677612.1
OG0000308	protein_2	WP_012516008.1	WP_012516008.1
OG0000309	protein_2	WP_012516034.1	WP_042670991.1
OG0000309	protein_3	WP_012516034.1	WP_154803640.1
OG0000310	protein_3	WP_012516035.1	WP_012516035.1
OG0000310	protein_2	WP_012516035.1	WP_195757344.1
OG0000311	protein_3	WP_012516037.1	WP_138119605.1
OG0000311	protein_2	WP_012516037.1	WP_138119605.1
OG0000312	protein_2	WP_012516038.1	WP_138119607.1
OG0000312	protein_3	WP_012516038.1	WP_012516038.1
OG0000313	protein_2	WP_012516046.1	WP_138119617.1
OG0000313	protein_3	WP_012516046.1	WP_012516046.1
OG0000314	protein_3	WP_012516047.1	WP_012516047.1
OG0000314	protein_2	WP_012516047.1	WP_012516047.1
OG0000315	protein_3	WP_012516058.1	WP_012516058.1
OG0000315	protein_2	WP_012516058.1	WP_012516058.1
OG0000316	protein_3	WP_012516059.1	WP_043039227.1
OG0000316	protein_2	WP_012516059.1	WP_206158705.1
OG0000317	protein_3	WP_012516063.1	WP_012516063.1
OG0000317	protein_2	WP_012516063.1	WP_138119630.1
OG0000318	protein_2	WP_012516066.1	WP_138119632.1
OG0000318	protein_3	WP_012516066.1	WP_012516066.1
OG0000319	protein_3	WP_012516071.1	WP_043040961.1
OG0000319	protein_2	WP_012516071.1	WP_115251206.1
OG0000320	protein_2	WP_012516076.1	WP_012516076.1
OG0000320	protein_3	WP_012516076.1	WP_012677543.1
OG0000321	protein_2	WP_012516077.1	WP_012516077.1
OG0000321	protein_3	WP_012516077.1	WP_043040967.1
OG0000322	protein_2	WP_012516079.1	WP_012516079.1
OG0000322	protein_3	WP_012516079.1	WP_111692676.1
OG0000323	protein_3	WP_012516080.1	WP_012677540.1
OG0000323	protein_2	WP_012516080.1	WP_012516080.1
OG0000324	protein_2	WP_012516082.1	WP_012516082.1
OG0000324	protein_3	WP_012516082.1	WP_043026361.1
OG0000325	protein_2	WP_012516087.1	WP_138119640.1
OG0000325	protein_3	WP_012516087.1	WP_012677537.1
OG0000326	protein_3	WP_012516123.1	WP_012516123.1
OG0000326	protein_2	WP_012516123.1	WP_111678365.1
OG0000327	protein_3	WP_012516130.1	WP_154803609.1
OG0000327	protein_2	WP_012516130.1	WP_111678367.1
OG0000328	protein_3	WP_012516131.1	WP_012516131.1
OG0000328	protein_2	WP_012516131.1	WP_012516131.1
OG0000329	protein_3	WP_012516143.1	WP_012516143.1
OG0000329	protein_2	WP_012516143.1	WP_111678379.1
OG0000330	protein_3	WP_012516146.1	WP_012516146.1
OG0000330	protein_2	WP_012516146.1	WP_111678385.1
OG0000331	protein_3	WP_012516150.1	WP_037579765.1
OG0000331	protein_2	WP_012516150.1	WP_012516150.1
OG0000332	protein_3	WP_012516151.1	WP_012680000.1
OG0000332	protein_2	WP_012516151.1	WP_012516151.1
OG0000333	protein_2	WP_012516157.1	WP_111678397.1
OG0000333	protein_3	WP_012516157.1	WP_012516157.1
OG0000334	protein_3	WP_012516159.1	WP_012516159.1
OG0000334	protein_2	WP_012516159.1	WP_206158720.1
OG0000335	protein_3	WP_012516167.1	WP_012677478.1
OG0000335	protein_2	WP_012516167.1	WP_012516167.1
OG0000336	protein_3	WP_012516169.1	WP_037579803.1
OG0000336	protein_2	WP_012516169.1	WP_111678415.1
OG0000337	protein_3	WP_012516176.1	WP_012516176.1
OG0000337	protein_2	WP_012516176.1	WP_012516176.1
OG0000338	protein_2	WP_012516186.1	WP_111678437.1
OG0000338	protein_3	WP_012516186.1	WP_012516186.1
OG0000339	protein_3	WP_012516192.1	WP_012516192.1
OG0000339	protein_2	WP_012516192.1	WP_111678445.1
OG0000340	protein_2	WP_012516194.1	WP_111678449.1
OG0000340	protein_3	WP_012516194.1	WP_154803588.1
OG0000341	protein_2	WP_012516195.1	WP_012680029.1
OG0000341	protein_3	WP_012516195.1	WP_012516195.1
OG0000342	protein_3	WP_012516202.1	WP_012516202.1
OG0000342	protein_2	WP_012516202.1	WP_206158727.1
OG0000343	protein_3	WP_012516212.1	WP_012516212.1
OG0000343	protein_2	WP_012516212.1	WP_012516212.1
OG0000344	protein_3	WP_012516235.1	WP_012516235.1
OG0000344	protein_2	WP_012516235.1	WP_012516235.1
OG0000345	protein_3	WP_012516240.1	WP_012677421.1
OG0000345	protein_2	WP_012516240.1	WP_037579906.1
OG0000346	protein_2	WP_012516251.1	WP_012516251.1
OG0000346	protein_3	WP_012516251.1	WP_012516251.1
OG0000347	protein_3	WP_012516252.1	WP_154803556.1
OG0000347	protein_2	WP_012516252.1	WP_115251292.1
OG0000348	protein_3	WP_012516253.1	WP_012516253.1
OG0000348	protein_2	WP_012516253.1	WP_012516253.1
OG0000349	protein_2	WP_012516259.1	WP_012516259.1
OG0000349	protein_3	WP_012516259.1	WP_012516259.1
OG0000350	protein_2	WP_012516266.1	WP_111678539.1
OG0000350	protein_3	WP_012516266.1	WP_012516266.1
OG0000351	protein_2	WP_012516286.1	WP_012516286.1
OG0000351	protein_3	WP_012516286.1	WP_021321133.1
OG0000352	protein_3	WP_012516300.1	WP_012516300.1
OG0000352	protein_2	WP_012516300.1	WP_012516300.1
OG0000353	protein_2	WP_012516305.1	WP_021321143.1
OG0000353	protein_3	WP_012516305.1	WP_154804361.1
OG0000354	protein_3	WP_012516327.1	WP_154804337.1
OG0000354	protein_2	WP_012516327.1	WP_111678616.1
OG0000355	protein_3	WP_012516331.1	WP_154804334.1
OG0000355	protein_2	WP_012516331.1	WP_012516331.1
OG0000356	protein_2	WP_012516339.1	WP_012516339.1
OG0000356	protein_3	WP_012516339.1	WP_012516339.1
OG0000357	protein_2	WP_012516368.1	WP_196819686.1
OG0000357	protein_3	WP_012516368.1	WP_012516368.1
OG0000358	protein_2	WP_012516375.1	WP_229297461.1
OG0000358	protein_3	WP_012516375.1	WP_229297461.1
OG0000359	protein_2	WP_012516388.1	WP_012516388.1
OG0000359	protein_3	WP_012516388.1	WP_012516388.1
OG0000360	protein_3	WP_012516396.1	WP_012516396.1
OG0000360	protein_2	WP_012516396.1	WP_111678696.1
OG0000361	protein_3	WP_012516426.1	WP_012516426.1
OG0000361	protein_2	WP_012516426.1	WP_037579409.1
OG0000362	protein_2	WP_012516431.1	WP_206158784.1
OG0000362	protein_3	WP_012516431.1	WP_042671437.1
OG0000363	protein_2	WP_012516437.1	WP_206158787.1
OG0000363	protein_3	WP_012516437.1	WP_012516437.1
OG0000364	protein_3	WP_012516439.1	WP_012516439.1
OG0000364	protein_2	WP_012516439.1	WP_012516439.1
OG0000365	protein_3	WP_012516440.1	WP_012516440.1
OG0000365	protein_2	WP_012516440.1	WP_012516440.1
OG0000366	protein_2	WP_012516441.1	WP_012516441.1
OG0000366	protein_3	WP_012516441.1	WP_012678688.1
OG0000367	protein_2	WP_012516453.1	WP_012516453.1
OG0000367	protein_3	WP_012516453.1	WP_012516453.1
OG0000368	protein_3	WP_012516460.1	WP_012678705.1
OG0000368	protein_2	WP_012516460.1	WP_012516460.1
OG0000369	protein_2	WP_012516474.1	WP_206158813.1
OG0000369	protein_3	WP_012516474.1	WP_012516474.1
OG0000370	protein_3	WP_012516485.1	WP_154804276.1
OG0000370	protein_2	WP_012516485.1	WP_012516485.1
OG0000371	protein_2	WP_012516488.1	WP_012516488.1
OG0000371	protein_3	WP_012516488.1	WP_111678785.1
OG0000372	protein_2	WP_012677176.1	WP_012514683.1
OG0000372	protein_3	WP_012677176.1	WP_012514683.1
OG0000373	protein_2	WP_012677213.1	WP_012677213.1
OG0000373	protein_3	WP_012677213.1	WP_012677213.1
OG0000374	protein_2	WP_012677214.1	WP_012678795.1
OG0000374	protein_3	WP_012677214.1	WP_012677214.1
OG0000375	protein_2	WP_012677221.1	WP_206158890.1
OG0000375	protein_3	WP_012677221.1	WP_012677221.1
OG0000376	protein_3	WP_012677227.1	WP_012514773.1
OG0000376	protein_2	WP_012677227.1	WP_037580647.1
OG0000377	protein_2	WP_012677230.1	WP_012514777.1
OG0000377	protein_3	WP_012677230.1	WP_111710102.1
OG0000378	protein_2	WP_012677236.1	WP_249093270.1
OG0000378	protein_3	WP_012677236.1	WP_154804227.1
OG0000379	protein_2	WP_012677244.1	WP_206158903.1
OG0000379	protein_3	WP_012677244.1	WP_154804222.1
OG0000380	protein_3	WP_012677248.1	WP_024273103.1
OG0000380	protein_2	WP_012677248.1	WP_206158906.1
OG0000381	protein_2	WP_012677249.1	WP_012677249.1
OG0000381	protein_3	WP_012677249.1	WP_043029271.1
OG0000382	protein_3	WP_012677265.1	WP_012677265.1
OG0000382	protein_2	WP_012677265.1	WP_012677265.1
OG0000383	protein_2	WP_012677268.1	WP_012677268.1
OG0000383	protein_3	WP_012677268.1	WP_012677268.1
OG0000384	protein_3	WP_012677269.1	WP_012677269.1
OG0000384	protein_2	WP_012677269.1	WP_115250241.1
OG0000385	protein_2	WP_012677286.1	WP_012677286.1
OG0000385	protein_3	WP_012677286.1	WP_012677286.1
OG0000386	protein_2	WP_012677306.1	WP_012677306.1
OG0000386	protein_3	WP_012677306.1	WP_043025091.1
OG0000387	protein_2	WP_012677308.1	WP_115250528.1
OG0000387	protein_3	WP_012677308.1	WP_043983869.1
OG0000388	protein_2	WP_012677322.1	WP_012516349.1
OG0000388	protein_3	WP_012677322.1	WP_012677322.1
OG0000389	protein_2	WP_012677328.1	WP_206158749.1
OG0000389	protein_3	WP_012677328.1	WP_154804329.1
OG0000390	protein_2	WP_012677341.1	WP_206158743.1
OG0000390	protein_3	WP_012677341.1	WP_012677341.1
OG0000391	protein_3	WP_012677343.1	WP_012677343.1
OG0000391	protein_2	WP_012677343.1	WP_012516324.1
OG0000392	protein_2	WP_012677369.1	WP_111678569.1
OG0000392	protein_3	WP_012677369.1	WP_043053415.1
OG0000393	protein_2	WP_012677371.1	WP_111678565.1
OG0000393	protein_3	WP_012677371.1	WP_042671308.1
OG0000394	protein_2	WP_012677374.1	WP_021321140.1
OG0000394	protein_3	WP_012677374.1	WP_012677374.1
OG0000395	protein_3	WP_012677375.1	WP_012677375.1
OG0000395	protein_2	WP_012677375.1	WP_111678561.1
OG0000396	protein_2	WP_012677395.1	WP_043026538.1
OG0000396	protein_3	WP_012677395.1	WP_012677395.1
OG0000397	protein_3	WP_012677396.1	WP_043041095.1
OG0000397	protein_2	WP_012677396.1	WP_012677396.1
OG0000398	protein_2	WP_012677400.1	WP_043053402.1
OG0000398	protein_3	WP_012677400.1	WP_043041092.1
OG0000399	protein_3	WP_012677410.1	WP_154803554.1
OG0000399	protein_2	WP_012677410.1	WP_111678523.1
OG0000400	protein_2	WP_012677424.1	WP_111678498.1
OG0000400	protein_3	WP_012677424.1	WP_154803572.1
OG0000401	protein_3	WP_012677427.1	WP_012516231.1
OG0000401	protein_2	WP_012677427.1	WP_012516231.1
OG0000402	protein_3	WP_012677432.1	WP_043026498.1
OG0000402	protein_2	WP_012677432.1	WP_012677432.1
OG0000403	protein_2	WP_012677445.1	WP_111678469.1
OG0000403	protein_3	WP_012677445.1	WP_012677445.1
OG0000404	protein_2	WP_012677450.1	WP_111678463.1
OG0000404	protein_3	WP_012677450.1	WP_154803582.1
OG0000405	protein_3	WP_012677476.1	WP_012677476.1
OG0000405	protein_2	WP_012677476.1	WP_111678419.1
OG0000406	protein_3	WP_012677481.1	WP_111692708.1
OG0000406	protein_2	WP_012677481.1	WP_111678405.1
OG0000407	protein_3	WP_012677486.1	WP_012516158.1
OG0000407	protein_2	WP_012677486.1	WP_037579781.1
OG0000408	protein_2	WP_012677487.1	WP_111678395.1
OG0000408	protein_3	WP_012677487.1	WP_154803602.1
OG0000409	protein_3	WP_012677492.1	WP_041785676.1
OG0000409	protein_2	WP_012677492.1	WP_111678387.1
OG0000410	protein_2	WP_012677504.1	WP_012516132.1
OG0000410	protein_3	WP_012677504.1	WP_043039344.1
OG0000411	protein_3	WP_012677529.1	WP_154803625.1
OG0000411	protein_2	WP_012677529.1	WP_042671048.1
OG0000412	protein_2	WP_012677552.1	WP_043031220.1
OG0000412	protein_3	WP_012677552.1	WP_012516062.1
OG0000413	protein_3	WP_012677557.1	WP_012677557.1
OG0000413	protein_2	WP_012677557.1	WP_138119623.1
OG0000414	protein_3	WP_012677563.1	WP_111678278.1
OG0000414	protein_2	WP_012677563.1	WP_043026326.1
OG0000415	protein_3	WP_012677564.1	WP_154803636.1
OG0000415	protein_2	WP_012677564.1	WP_043026325.1
OG0000416	protein_2	WP_012677586.1	WP_012677586.1
OG0000416	protein_3	WP_012677586.1	WP_154803642.1
OG0000417	protein_3	WP_012677605.1	WP_012677605.1
OG0000417	protein_2	WP_012677605.1	WP_012677605.1
OG0000418	protein_3	WP_012677607.1	WP_037581556.1
OG0000418	protein_2	WP_012677607.1	WP_012677607.1
OG0000419	protein_2	WP_012677617.1	WP_111678248.1
OG0000419	protein_3	WP_012677617.1	WP_111678248.1
OG0000420	protein_3	WP_012677653.1	WP_012515977.1
OG0000420	protein_2	WP_012677653.1	WP_012677653.1
OG0000421	protein_2	WP_012677660.1	WP_043039157.1
OG0000421	protein_3	WP_012677660.1	WP_012677660.1
OG0000422	protein_3	WP_012677670.1	WP_043026144.1
OG0000422	protein_2	WP_012677670.1	WP_043026144.1
OG0000423	protein_2	WP_012677681.1	WP_012679809.1
OG0000423	protein_3	WP_012677681.1	WP_042670911.1
OG0000424	protein_2	WP_012677747.1	WP_206152462.1
OG0000424	protein_3	WP_012677747.1	WP_154803763.1
OG0000425	protein_3	WP_012677750.1	WP_154803766.1
OG0000425	protein_2	WP_012677750.1	WP_012677750.1
OG0000426	protein_2	WP_012677772.1	WP_024273192.1
OG0000426	protein_3	WP_012677772.1	WP_154803779.1
OG0000427	protein_2	WP_012677778.1	WP_012677778.1
OG0000427	protein_3	WP_012677778.1	WP_012677778.1
OG0000428	protein_2	WP_012677786.1	WP_012677786.1
OG0000428	protein_3	WP_012677786.1	WP_012677786.1
OG0000429	protein_3	WP_012677801.1	WP_012515796.1
OG0000429	protein_2	WP_012677801.1	WP_012677801.1
OG0000430	protein_2	WP_012677807.1	WP_012515790.1
OG0000430	protein_3	WP_012677807.1	WP_012679701.1
OG0000431	protein_2	WP_012677818.1	WP_206158669.1
OG0000431	protein_3	WP_012677818.1	WP_021320861.1
OG0000432	protein_2	WP_012677820.1	WP_012677820.1
OG0000432	protein_3	WP_012677820.1	WP_012679689.1
OG0000433	protein_2	WP_012677824.1	WP_012677824.1
OG0000433	protein_3	WP_012677824.1	WP_154803799.1
OG0000434	protein_3	WP_012677826.1	WP_042670768.1
OG0000434	protein_2	WP_012677826.1	WP_042670768.1
OG0000435	protein_3	WP_012677836.1	WP_012677836.1
OG0000435	protein_2	WP_012677836.1	WP_012677836.1
OG0000436	protein_3	WP_012677843.1	WP_012677843.1
OG0000436	protein_2	WP_012677843.1	WP_012677843.1
OG0000437	protein_3	WP_014623240.1, WP_012677866.1	WP_154803815.1
OG0000438	protein_3	WP_012677869.1	WP_012677869.1
