HOG	OG	Gene Tree Parent Clade	protein	protein_2	protein_3
N0.HOG0000278	OG0000229	-	WP_012515284.1	WP_012679200.1	WP_154804032.1
N0.HOG0000279	OG0000230	-	WP_012515299.1	WP_206158984.1	WP_043040314.1
N0.HOG0000280	OG0000231	-	WP_012515300.1	WP_012515300.1	WP_154804026.1
N0.HOG0000281	OG0000232	-	WP_012515313.1	WP_012515313.1	WP_012515313.1
N0.HOG0000282	OG0000233	-	WP_012515316.1	WP_012678242.1	WP_012515316.1
N0.HOG0000283	OG0000234	-	WP_012515336.1	WP_043040353.1	WP_012679244.1
N0.HOG0000284	OG0000235	-	WP_012515369.1	WP_012515369.1	WP_012515369.1
N0.HOG0000285	OG0000236	-	WP_012515374.1	WP_206156320.1	WP_154803952.1
N0.HOG0000286	OG0000237	-	WP_012515383.1	WP_012515383.1	WP_012678146.1
N0.HOG0000287	OG0000238	-	WP_012515391.1	WP_021320621.1	WP_012515391.1
N0.HOG0000288	OG0000239	-	WP_012515394.1	WP_037578738.1	WP_037578738.1
N0.HOG0000289	OG0000240	-	WP_012515399.1	WP_012515399.1	WP_012515399.1
N0.HOG0000290	OG0000241	-	WP_012515405.1	WP_012678128.1	WP_012678128.1
N0.HOG0000291	OG0000242	-	WP_012515409.1	WP_012515409.1	WP_012515409.1
N0.HOG0000292	OG0000243	-	WP_012515423.1	WP_043025646.1	WP_043030685.1
N0.HOG0000293	OG0000244	-	WP_012515426.1	WP_012515426.1	WP_012515426.1
N0.HOG0000294	OG0000245	-	WP_012515427.1	WP_206159002.1	WP_012515427.1
N0.HOG0000295	OG0000246	-	WP_012515430.1	WP_012515430.1	WP_012515430.1
N0.HOG0000296	OG0000247	-	WP_012515431.1	WP_012515431.1	WP_012515431.1
N0.HOG0000297	OG0000248	-	WP_012515458.1	WP_206159018.1	WP_154803924.1
N0.HOG0000298	OG0000249	-	WP_012515487.1	WP_042670543.1	WP_154803913.1
N0.HOG0000299	OG0000250	-	WP_012515489.1	WP_012515489.1	WP_012515489.1
N0.HOG0000300	OG0000251	-	WP_012515490.1	WP_012515490.1	WP_012515490.1
N0.HOG0000301	OG0000252	-	WP_012515499.1	WP_206159037.1	WP_012678053.1
N0.HOG0000302	OG0000253	-	WP_012515506.1	WP_206159052.1	WP_154803883.1
N0.HOG0000303	OG0000254	-	WP_012515507.1	WP_111678035.1	WP_012515507.1
N0.HOG0000304	OG0000255	-	WP_012515508.1	WP_037578443.1	WP_012515508.1
N0.HOG0000305	OG0000256	-	WP_012515510.1	WP_037578437.1	WP_012515510.1
N0.HOG0000306	OG0000257	-	WP_012515511.1	WP_012515511.1	WP_012515511.1
N0.HOG0000307	OG0000258	-	WP_012515523.1	WP_012515523.1	WP_012515523.1
N0.HOG0000308	OG0000259	-	WP_012515542.1	WP_012679475.1	WP_012515542.1
N0.HOG0000309	OG0000260	-	WP_012515548.1	WP_037578348.1	WP_021320708.1
N0.HOG0000310	OG0000261	-	WP_012515563.1	WP_206158614.1	WP_012515563.1
N0.HOG0000311	OG0000262	-	WP_012515564.1	WP_012515564.1	WP_012515564.1
N0.HOG0000312	OG0000263	-	WP_012515565.1	WP_012515565.1	WP_012515565.1
N0.HOG0000313	OG0000264	-	WP_012515566.1	WP_043025785.1	WP_041790451.1
N0.HOG0000314	OG0000265	-	WP_012515586.1	WP_012515586.1	WP_154803857.1
N0.HOG0000315	OG0000266	-	WP_012515603.1	WP_043983543.1	WP_012677974.1
N0.HOG0000316	OG0000267	-	WP_012515611.1	WP_206158632.1	WP_012515611.1
N0.HOG0000317	OG0000268	-	WP_012515616.1	WP_037581197.1	WP_012515616.1
N0.HOG0000318	OG0000269	-	WP_012515617.1	WP_012515617.1	WP_012515617.1
N0.HOG0000319	OG0000270	-	WP_012515624.1	WP_012515624.1	WP_012515624.1
N0.HOG0000320	OG0000271	-	WP_012515629.1	WP_043053094.1	WP_012515629.1
N0.HOG0000321	OG0000272	-	WP_012515634.1	WP_206158640.1	WP_012515634.1
N0.HOG0000322	OG0000273	-	WP_012515639.1	WP_111678144.1	WP_154803839.1
N0.HOG0000323	OG0000274	-	WP_012515644.1	WP_012515644.1	WP_012515644.1
N0.HOG0000324	OG0000275	-	WP_012515646.1	WP_206158644.1	WP_012515646.1
N0.HOG0000325	OG0000276	-	WP_012515653.1	WP_206158649.1	WP_012515653.1
N0.HOG0000326	OG0000277	-	WP_012515655.1	WP_012515655.1	WP_012515655.1
N0.HOG0000327	OG0000278	-	WP_012515660.1	WP_043029751.1	WP_154803835.1
N0.HOG0000328	OG0000279	-	WP_012515666.1	WP_012515666.1	WP_012515666.1
N0.HOG0000329	OG0000280	-	WP_012515669.1	WP_012515669.1	WP_012515669.1
N0.HOG0000330	OG0000281	-	WP_012515672.1	WP_206158655.1	WP_012677909.1
N0.HOG0000331	OG0000282	-	WP_012515690.1	WP_115250988.1	WP_037581033.1
N0.HOG0000332	OG0000283	-	WP_012515696.1	WP_012515696.1	WP_012515696.1
N0.HOG0000333	OG0000284	-	WP_012515710.1	WP_206152498.1	WP_043040660.1
N0.HOG0000334	OG0000285	-	WP_012515728.1	WP_206152489.1	WP_012515728.1
N0.HOG0000335	OG0000286	-	WP_012515734.1	WP_012515734.1	WP_012515734.1
N0.HOG0000336	OG0000287	-	WP_012515737.1	WP_012515737.1	WP_012515737.1
N0.HOG0000337	OG0000288	-	WP_012515744.1	WP_012677848.1	WP_043030887.1
N0.HOG0000338	OG0000289	-	WP_012515752.1	WP_012515752.1	WP_042670759.1
N0.HOG0000339	OG0000290	-	WP_012515759.1	WP_043040698.1	WP_012515759.1
N0.HOG0000340	OG0000291	-	WP_012515795.1	WP_012515795.1	WP_012515795.1
N0.HOG0000341	OG0000292	-	WP_012515814.1	WP_012679715.1	WP_154803786.1
N0.HOG0000342	OG0000293	-	WP_012515820.1	WP_138119444.1	WP_154803784.1
N0.HOG0000343	OG0000294	-	WP_012515822.1	WP_138119446.1	WP_154803781.1
N0.HOG0000344	OG0000295	-	WP_012515862.1	WP_012515862.1	WP_012515862.1
N0.HOG0000345	OG0000296	-	WP_012515872.1	WP_012515872.1	WP_012515872.1
N0.HOG0000346	OG0000297	-	WP_012515875.1	WP_012515875.1	WP_012515875.1
N0.HOG0000347	OG0000298	-	WP_012515888.1	WP_043029880.1	WP_012515888.1
N0.HOG0000348	OG0000299	-	WP_012515894.1	WP_012515894.1	WP_154803749.1
N0.HOG0000349	OG0000300	-	WP_012515910.1	WP_043039121.1	WP_043026105.1
N0.HOG0000350	OG0000301	-	WP_012515923.1	WP_012515923.1	WP_012515923.1
N0.HOG0000351	OG0000302	-	WP_012515937.1, WP_014623142.1		WP_154803731.1
N0.HOG0000352	OG0000303	-	WP_012515948.1	WP_012515948.1	WP_012515948.1
N0.HOG0000353	OG0000304	-	WP_012515957.1	WP_012515957.1	WP_012515957.1
N0.HOG0000354	OG0000305	-	WP_012515958.1	WP_012515958.1	WP_111692600.1
N0.HOG0000355	OG0000306	-	WP_012515968.1	WP_042670938.1	WP_012515968.1
N0.HOG0000356	OG0000307	-	WP_012515994.1	WP_012677635.1	WP_154803663.1
N0.HOG0000357	OG0000308	-	WP_012516008.1	WP_012516008.1	WP_012677612.1
N0.HOG0000358	OG0000309	-	WP_012516034.1	WP_042670991.1	WP_154803640.1
N0.HOG0000359	OG0000310	-	WP_012516035.1	WP_195757344.1	WP_012516035.1
N0.HOG0000360	OG0000311	-	WP_012516037.1	WP_138119605.1	WP_138119605.1
N0.HOG0000361	OG0000312	-	WP_012516038.1	WP_138119607.1	WP_012516038.1
N0.HOG0000362	OG0000313	-	WP_012516046.1	WP_138119617.1	WP_012516046.1
N0.HOG0000363	OG0000314	-	WP_012516047.1	WP_012516047.1	WP_012516047.1
N0.HOG0000364	OG0000315	-	WP_012516058.1	WP_012516058.1	WP_012516058.1
N0.HOG0000365	OG0000316	-	WP_012516059.1	WP_206158705.1	WP_043039227.1
N0.HOG0000366	OG0000317	-	WP_012516063.1	WP_138119630.1	WP_012516063.1
N0.HOG0000367	OG0000318	-	WP_012516066.1	WP_138119632.1	WP_012516066.1
N0.HOG0000368	OG0000319	-	WP_012516071.1	WP_115251206.1	WP_043040961.1
N0.HOG0000369	OG0000320	-	WP_012516076.1	WP_012516076.1	WP_012677543.1
N0.HOG0000370	OG0000321	-	WP_012516077.1	WP_012516077.1	WP_043040967.1
N0.HOG0000371	OG0000322	-	WP_012516079.1	WP_012516079.1	WP_111692676.1
N0.HOG0000372	OG0000323	-	WP_012516080.1	WP_012516080.1	WP_012677540.1
N0.HOG0000373	OG0000324	-	WP_012516082.1	WP_012516082.1	WP_043026361.1
N0.HOG0000374	OG0000325	-	WP_012516087.1	WP_138119640.1	WP_012677537.1
N0.HOG0000375	OG0000326	-	WP_012516123.1	WP_111678365.1	WP_012516123.1
N0.HOG0000376	OG0000327	-	WP_012516130.1	WP_111678367.1	WP_154803609.1
N0.HOG0000377	OG0000328	-	WP_012516131.1	WP_012516131.1	WP_012516131.1
N0.HOG0000378	OG0000329	-	WP_012516143.1	WP_111678379.1	WP_012516143.1
N0.HOG0000379	OG0000330	-	WP_012516146.1	WP_111678385.1	WP_012516146.1
N0.HOG0000380	OG0000331	-	WP_012516150.1	WP_012516150.1	WP_037579765.1
N0.HOG0000381	OG0000332	-	WP_012516151.1	WP_012516151.1	WP_012680000.1
N0.HOG0000382	OG0000333	-	WP_012516157.1	WP_111678397.1	WP_012516157.1
N0.HOG0000383	OG0000334	-	WP_012516159.1	WP_206158720.1	WP_012516159.1
N0.HOG0000384	OG0000335	-	WP_012516167.1	WP_012516167.1	WP_012677478.1
N0.HOG0000385	OG0000336	-	WP_012516169.1	WP_111678415.1	WP_037579803.1
N0.HOG0000386	OG0000337	-	WP_012516176.1	WP_012516176.1	WP_012516176.1
N0.HOG0000387	OG0000338	-	WP_012516186.1	WP_111678437.1	WP_012516186.1
N0.HOG0000388	OG0000339	-	WP_012516192.1	WP_111678445.1	WP_012516192.1
N0.HOG0000389	OG0000340	-	WP_012516194.1	WP_111678449.1	WP_154803588.1
N0.HOG0000390	OG0000341	-	WP_012516195.1	WP_012680029.1	WP_012516195.1
N0.HOG0000391	OG0000342	-	WP_012516202.1	WP_206158727.1	WP_012516202.1
N0.HOG0000392	OG0000343	-	WP_012516212.1	WP_012516212.1	WP_012516212.1
N0.HOG0000393	OG0000344	-	WP_012516235.1	WP_012516235.1	WP_012516235.1
N0.HOG0000394	OG0000345	-	WP_012516240.1	WP_037579906.1	WP_012677421.1
N0.HOG0000395	OG0000346	-	WP_012516251.1	WP_012516251.1	WP_012516251.1
N0.HOG0000396	OG0000347	-	WP_012516252.1	WP_115251292.1	WP_154803556.1
N0.HOG0000397	OG0000348	-	WP_012516253.1	WP_012516253.1	WP_012516253.1
N0.HOG0000398	OG0000349	-	WP_012516259.1	WP_012516259.1	WP_012516259.1
N0.HOG0000399	OG0000350	-	WP_012516266.1	WP_111678539.1	WP_012516266.1
N0.HOG0000400	OG0000351	-	WP_012516286.1	WP_012516286.1	WP_021321133.1
N0.HOG0000401	OG0000352	-	WP_012516300.1	WP_012516300.1	WP_012516300.1
N0.HOG0000402	OG0000353	-	WP_012516305.1	WP_021321143.1	WP_154804361.1
N0.HOG0000403	OG0000354	-	WP_012516327.1	WP_111678616.1	WP_154804337.1
N0.HOG0000404	OG0000355	-	WP_012516331.1	WP_012516331.1	WP_154804334.1
N0.HOG0000405	OG0000356	-	WP_012516339.1	WP_012516339.1	WP_012516339.1
N0.HOG0000406	OG0000357	-	WP_012516368.1	WP_196819686.1	WP_012516368.1
N0.HOG0000407	OG0000358	-	WP_012516375.1	WP_229297461.1	WP_229297461.1
N0.HOG0000408	OG0000359	-	WP_012516388.1	WP_012516388.1	WP_012516388.1
N0.HOG0000409	OG0000360	-	WP_012516396.1	WP_111678696.1	WP_012516396.1
N0.HOG0000410	OG0000361	-	WP_012516426.1	WP_037579409.1	WP_012516426.1
N0.HOG0000411	OG0000362	-	WP_012516431.1	WP_206158784.1	WP_042671437.1
N0.HOG0000412	OG0000363	-	WP_012516437.1	WP_206158787.1	WP_012516437.1
N0.HOG0000413	OG0000364	-	WP_012516439.1	WP_012516439.1	WP_012516439.1
N0.HOG0000414	OG0000365	-	WP_012516440.1	WP_012516440.1	WP_012516440.1
N0.HOG0000415	OG0000366	-	WP_012516441.1	WP_012516441.1	WP_012678688.1
N0.HOG0000416	OG0000367	-	WP_012516453.1	WP_012516453.1	WP_012516453.1
N0.HOG0000417	OG0000368	-	WP_012516460.1	WP_012516460.1	WP_012678705.1
N0.HOG0000418	OG0000369	-	WP_012516474.1	WP_206158813.1	WP_012516474.1
N0.HOG0000419	OG0000370	-	WP_012516485.1	WP_012516485.1	WP_154804276.1
N0.HOG0000420	OG0000371	-	WP_012516488.1	WP_012516488.1	WP_111678785.1
N0.HOG0000421	OG0000372	-	WP_012677176.1	WP_012514683.1	WP_012514683.1
N0.HOG0000422	OG0000373	-	WP_012677213.1	WP_012677213.1	WP_012677213.1
N0.HOG0000423	OG0000374	-	WP_012677214.1	WP_012678795.1	WP_012677214.1
N0.HOG0000424	OG0000375	-	WP_012677221.1	WP_206158890.1	WP_012677221.1
N0.HOG0000425	OG0000376	-	WP_012677227.1	WP_037580647.1	WP_012514773.1
N0.HOG0000426	OG0000377	-	WP_012677230.1	WP_012514777.1	WP_111710102.1
N0.HOG0000427	OG0000378	-	WP_012677236.1	WP_249093270.1	WP_154804227.1
N0.HOG0000428	OG0000379	-	WP_012677244.1	WP_206158903.1	WP_154804222.1
N0.HOG0000429	OG0000380	-	WP_012677248.1	WP_206158906.1	WP_024273103.1
N0.HOG0000430	OG0000381	-	WP_012677249.1	WP_012677249.1	WP_043029271.1
N0.HOG0000431	OG0000382	-	WP_012677265.1	WP_012677265.1	WP_012677265.1
N0.HOG0000432	OG0000383	-	WP_012677268.1	WP_012677268.1	WP_012677268.1
N0.HOG0000433	OG0000384	-	WP_012677269.1	WP_115250241.1	WP_012677269.1
N0.HOG0000434	OG0000385	-	WP_012677286.1	WP_012677286.1	WP_012677286.1
N0.HOG0000435	OG0000386	-	WP_012677306.1	WP_012677306.1	WP_043025091.1
N0.HOG0000436	OG0000387	-	WP_012677308.1	WP_115250528.1	WP_043983869.1
N0.HOG0000437	OG0000388	-	WP_012677322.1	WP_012516349.1	WP_012677322.1
N0.HOG0000438	OG0000389	-	WP_012677328.1	WP_206158749.1	WP_154804329.1
N0.HOG0000439	OG0000390	-	WP_012677341.1	WP_206158743.1	WP_012677341.1
N0.HOG0000440	OG0000391	-	WP_012677343.1	WP_012516324.1	WP_012677343.1
N0.HOG0000441	OG0000392	-	WP_012677369.1	WP_111678569.1	WP_043053415.1
N0.HOG0000442	OG0000393	-	WP_012677371.1	WP_111678565.1	WP_042671308.1
N0.HOG0000443	OG0000394	-	WP_012677374.1	WP_021321140.1	WP_012677374.1
N0.HOG0000444	OG0000395	-	WP_012677375.1	WP_111678561.1	WP_012677375.1
N0.HOG0000445	OG0000396	-	WP_012677395.1	WP_043026538.1	WP_012677395.1
N0.HOG0000446	OG0000397	-	WP_012677396.1	WP_012677396.1	WP_043041095.1
N0.HOG0000447	OG0000398	-	WP_012677400.1	WP_043053402.1	WP_043041092.1
N0.HOG0000448	OG0000399	-	WP_012677410.1	WP_111678523.1	WP_154803554.1
N0.HOG0000449	OG0000400	-	WP_012677424.1	WP_111678498.1	WP_154803572.1
N0.HOG0000450	OG0000401	-	WP_012677427.1	WP_012516231.1	WP_012516231.1
N0.HOG0000451	OG0000402	-	WP_012677432.1	WP_012677432.1	WP_043026498.1
N0.HOG0000452	OG0000403	-	WP_012677445.1	WP_111678469.1	WP_012677445.1
N0.HOG0000453	OG0000404	-	WP_012677450.1	WP_111678463.1	WP_154803582.1
N0.HOG0000454	OG0000405	-	WP_012677476.1	WP_111678419.1	WP_012677476.1
N0.HOG0000455	OG0000406	-	WP_012677481.1	WP_111678405.1	WP_111692708.1
N0.HOG0000456	OG0000407	-	WP_012677486.1	WP_037579781.1	WP_012516158.1
N0.HOG0000457	OG0000408	-	WP_012677487.1	WP_111678395.1	WP_154803602.1
N0.HOG0000458	OG0000409	-	WP_012677492.1	WP_111678387.1	WP_041785676.1
N0.HOG0000459	OG0000410	-	WP_012677504.1	WP_012516132.1	WP_043039344.1
N0.HOG0000460	OG0000411	-	WP_012677529.1	WP_042671048.1	WP_154803625.1
N0.HOG0000461	OG0000412	-	WP_012677552.1	WP_043031220.1	WP_012516062.1
N0.HOG0000462	OG0000413	-	WP_012677557.1	WP_138119623.1	WP_012677557.1
N0.HOG0000463	OG0000414	-	WP_012677563.1	WP_043026326.1	WP_111678278.1
N0.HOG0000464	OG0000415	-	WP_012677564.1	WP_043026325.1	WP_154803636.1
N0.HOG0000465	OG0000416	-	WP_012677586.1	WP_012677586.1	WP_154803642.1
N0.HOG0000466	OG0000417	-	WP_012677605.1	WP_012677605.1	WP_012677605.1
N0.HOG0000467	OG0000418	-	WP_012677607.1	WP_012677607.1	WP_037581556.1
N0.HOG0000468	OG0000419	-	WP_012677617.1	WP_111678248.1	WP_111678248.1
N0.HOG0000469	OG0000420	-	WP_012677653.1	WP_012677653.1	WP_012515977.1
N0.HOG0000470	OG0000421	-	WP_012677660.1	WP_043039157.1	WP_012677660.1
N0.HOG0000471	OG0000422	-	WP_012677670.1	WP_043026144.1	WP_043026144.1
N0.HOG0000472	OG0000423	-	WP_012677681.1	WP_012679809.1	WP_042670911.1
N0.HOG0000473	OG0000424	-	WP_012677747.1	WP_206152462.1	WP_154803763.1
N0.HOG0000474	OG0000425	-	WP_012677750.1	WP_012677750.1	WP_154803766.1
N0.HOG0000475	OG0000426	-	WP_012677772.1	WP_024273192.1	WP_154803779.1
N0.HOG0000476	OG0000427	-	WP_012677778.1	WP_012677778.1	WP_012677778.1
N0.HOG0000477	OG0000428	-	WP_012677786.1	WP_012677786.1	WP_012677786.1
N0.HOG0000478	OG0000429	-	WP_012677801.1	WP_012677801.1	WP_012515796.1
N0.HOG0000479	OG0000430	-	WP_012677807.1	WP_012515790.1	WP_012679701.1
N0.HOG0000480	OG0000431	-	WP_012677818.1	WP_206158669.1	WP_021320861.1
N0.HOG0000481	OG0000432	-	WP_012677820.1	WP_012677820.1	WP_012679689.1
N0.HOG0000482	OG0000433	-	WP_012677824.1	WP_012677824.1	WP_154803799.1
N0.HOG0000483	OG0000434	-	WP_012677826.1	WP_042670768.1	WP_042670768.1
N0.HOG0000484	OG0000435	-	WP_012677836.1	WP_012677836.1	WP_012677836.1
N0.HOG0000485	OG0000436	-	WP_012677843.1	WP_012677843.1	WP_012677843.1
N0.HOG0000486	OG0000437	-	WP_014623240.1, WP_012677866.1		WP_154803815.1
N0.HOG0000487	OG0000438	-	WP_012677869.1	WP_043039022.1	WP_012677869.1
N0.HOG0000488	OG0000439	-	WP_012677890.1	WP_126437219.1	WP_012677890.1
N0.HOG0000489	OG0000440	-	WP_012677904.1	WP_206158657.1	WP_012677904.1
N0.HOG0000490	OG0000441	-	WP_012677911.1	WP_012677911.1	WP_012677911.1
N0.HOG0000491	OG0000442	-	WP_012677933.1	WP_206158642.1	WP_154804390.1
N0.HOG0000492	OG0000443	-	WP_012677940.1	WP_206158641.1	WP_012677940.1
N0.HOG0000493	OG0000444	-	WP_012677966.1	WP_206158633.1	WP_012679584.1
N0.HOG0000494	OG0000445	-	WP_012677971.1	WP_043038967.1	WP_154803848.1
N0.HOG0000495	OG0000446	-	WP_012677986.1	WP_206158622.1	WP_154803858.1
N0.HOG0000496	OG0000447	-	WP_012677989.1	WP_206158621.1	WP_154803859.1
N0.HOG0000497	OG0000448	-	WP_012677994.1	WP_206158618.1	WP_012677994.1
N0.HOG0000498	OG0000449	-	WP_012678001.1	WP_111678071.1	WP_012515568.1
N0.HOG0000499	OG0000450	-	WP_012678006.1	WP_012678006.1	WP_012678006.1
N0.HOG0000500	OG0000451	-	WP_012678018.1	WP_012678018.1	WP_012678018.1
N0.HOG0000501	OG0000452	-	WP_012678021.1	WP_043025772.1	WP_154804393.1
N0.HOG0000502	OG0000453	-	WP_012678025.1	WP_012678025.1	WP_012515537.1
N0.HOG0000503	OG0000454	-	WP_012678026.1	WP_012678026.1	WP_012678026.1
N0.HOG0000504	OG0000455	-	WP_012678034.1	WP_012515527.1	WP_012678034.1
N0.HOG0000505	OG0000456	-	WP_012678041.1	WP_206159054.1	WP_042670568.1
N0.HOG0000506	OG0000457	-	WP_012678044.1	WP_037578432.1	WP_012678044.1
N0.HOG0000507	OG0000458	-	WP_012678047.1	WP_206159051.1	WP_154803884.1
N0.HOG0000508	OG0000459	-	WP_012678063.1	WP_012678063.1	WP_012678063.1
N0.HOG0000509	OG0000460	-	WP_012678065.1	WP_115250875.1	WP_012678065.1
N0.HOG0000510	OG0000461	-	WP_012678074.1	WP_012678074.1	WP_012678074.1
N0.HOG0000511	OG0000462	-	WP_012678079.1	WP_012678079.1	WP_012679421.1
N0.HOG0000512	OG0000463	-	WP_012678105.1	WP_021320646.1	WP_012678105.1
N0.HOG0000513	OG0000464	-	WP_012678107.1	WP_012678107.1	WP_012678107.1
N0.HOG0000514	OG0000465	-	WP_012678109.1	WP_206159003.1	WP_012678109.1
N0.HOG0000515	OG0000466	-	WP_012678112.1	WP_037578685.1	WP_043030688.1
N0.HOG0000516	OG0000467	-	WP_012678127.1	WP_249093367.1	WP_012515407.1
N0.HOG0000517	OG0000468	-	WP_012678167.1	WP_012678167.1	WP_012678167.1
N0.HOG0000518	OG0000469	-	WP_012678173.1	WP_021320595.1	WP_154803962.1
N0.HOG0000519	OG0000470	-	WP_012678186.1	WP_021320585.1	WP_154803969.1
N0.HOG0000520	OG0000471	-	WP_012678248.1	WP_206156337.1	WP_154804022.1
N0.HOG0000521	OG0000472	-	WP_012678252.1	WP_206156339.1	WP_138118992.1
N0.HOG0000522	OG0000473	-	WP_012678253.1	WP_012678253.1	WP_154804023.1
N0.HOG0000523	OG0000474	-	WP_012678278.1	WP_012515275.1	WP_012678278.1
N0.HOG0000524	OG0000475	-	WP_012678283.1	WP_021320515.1	WP_021320515.1
N0.HOG0000525	OG0000476	-	WP_012678303.1	WP_012678303.1	WP_012678303.1
N0.HOG0000526	OG0000477	-	WP_012678305.1	WP_206156359.1	WP_012678305.1
N0.HOG0000527	OG0000478	-	WP_012678362.1	WP_012678362.1	WP_012678362.1
N0.HOG0000528	OG0000479	-	WP_012678369.1	WP_012515172.1	WP_012678369.1
N0.HOG0000529	OG0000480	-	WP_012678394.1	WP_012678394.1	WP_012678394.1
N0.HOG0000530	OG0000481	-	WP_012678425.1	WP_042670148.1	WP_043040157.1
N0.HOG0000531	OG0000482	-	WP_012678427.1	WP_115250646.1	WP_115250646.1
N0.HOG0000532	OG0000483	-	WP_012678429.1	WP_012678429.1	WP_111677796.1
N0.HOG0000533	OG0000484	-	WP_012678454.1	WP_126436367.1	WP_111677780.1
N0.HOG0000534	OG0000485	-	WP_012678455.1	WP_206156404.1	WP_012678455.1
N0.HOG0000535	OG0000486	-	WP_012678463.1	WP_165622797.1	WP_012678463.1
N0.HOG0000536	OG0000487	-	WP_012678479.1	WP_115250616.1	WP_043029379.1
N0.HOG0000537	OG0000488	-	WP_012678485.1	WP_037580207.1	WP_154804116.1
N0.HOG0000538	OG0000489	-	WP_012678486.1	WP_115250611.1	WP_154804117.1
N0.HOG0000539	OG0000490	-	WP_012678498.1	WP_012678498.1	WP_012678498.1
N0.HOG0000540	OG0000491	-	WP_012678504.1	WP_012678504.1	WP_012678504.1
N0.HOG0000541	OG0000492	-	WP_012678525.1	WP_200831601.1	WP_043029349.1
N0.HOG0000542	OG0000493	-	WP_012678526.1	WP_115250585.1	WP_154804134.1
N0.HOG0000543	OG0000494	-	WP_012678533.1	WP_012678533.1	WP_012514952.1
N0.HOG0000544	OG0000495	-	WP_012678537.1	WP_012678537.1	WP_012678537.1
N0.HOG0000545	OG0000496	-	WP_012678547.1	WP_206158965.1	WP_037580359.1
N0.HOG0000546	OG0000497	-	WP_012678551.1	WP_206158963.1	WP_043052707.1
N0.HOG0000547	OG0000498	-	WP_012678553.1	WP_012678553.1	WP_012678553.1
N0.HOG0000548	OG0000499	-	WP_012678556.1	WP_012678556.1	WP_012678556.1
N0.HOG0000549	OG0000500	-	WP_012678569.1	WP_012678569.1	WP_012678569.1
N0.HOG0000550	OG0000501	-	WP_012678684.1	WP_164437590.1	WP_012678684.1
N0.HOG0000551	OG0000502	-	WP_012678700.1	WP_206158794.1	WP_012678700.1
N0.HOG0000552	OG0000503	-	WP_012678701.1	WP_206158795.1	WP_012678701.1
N0.HOG0000553	OG0000504	-	WP_012678704.1	WP_206158800.1	WP_111690506.1
N0.HOG0000554	OG0000505	-	WP_012678712.1	WP_012516469.1	WP_154804285.1
N0.HOG0000555	OG0000506	-	WP_012678716.1	WP_021321234.1	WP_021321234.1
N0.HOG0000556	OG0000507	-	WP_012678720.1	WP_111692878.1	WP_111678780.1
N0.HOG0000557	OG0000508	-	WP_012678721.1	WP_012678721.1	WP_012678721.1
N0.HOG0000558	OG0000509	-	WP_012678731.1	WP_206158830.1	WP_154804270.1
N0.HOG0000559	OG0000510	-	WP_012678740.1	WP_115251446.1	WP_172954525.1
N0.HOG0000560	OG0000511	-	WP_012678748.1	WP_206158847.1	WP_012678748.1
N0.HOG0000561	OG0000512	-	WP_012678751.1	WP_206158850.1	WP_154804261.1
N0.HOG0000562	OG0000513	-	WP_012678772.1	WP_012678772.1	WP_012677196.1
N0.HOG0000563	OG0000514	-	WP_012678783.1	WP_164336748.1	WP_154804243.1
N0.HOG0000564	OG0000515	-	WP_012678784.1	WP_012514721.1	WP_111692081.1
N0.HOG0000565	OG0000516	-	WP_012678785.1	WP_012514722.1	WP_111692082.1
N0.HOG0000566	OG0000517	-	WP_012678801.1	WP_041785193.1	WP_043029252.1
N0.HOG0000567	OG0000518	-	WP_012678812.1	WP_012514783.1	WP_012514783.1
N0.HOG0000568	OG0000519	-	WP_012678817.1	WP_165627047.1	WP_154804225.1
N0.HOG0000569	OG0000520	-	WP_012678826.1	WP_206158905.1	WP_154804219.1
N0.HOG0000570	OG0000521	-	WP_012678897.1	WP_206158913.1	WP_012514807.1
N0.HOG0000571	OG0000522	-	WP_012679089.1	WP_012679089.1	WP_043052770.1
N0.HOG0000572	OG0000523	-	WP_012679132.1	WP_012679132.1	WP_012679132.1
N0.HOG0000573	OG0000524	-	WP_012679147.1	WP_043029462.1	WP_154804052.1
N0.HOG0000574	OG0000525	-	WP_012679171.1	WP_012678304.1	WP_012679171.1
N0.HOG0000575	OG0000526	-	WP_012679240.1	WP_206156334.1	WP_012679240.1
N0.HOG0000576	OG0000527	-	WP_012679249.1	WP_021320558.1	WP_021320558.1
N0.HOG0000577	OG0000528	-	WP_012679348.1	WP_012679348.1	WP_154803956.1
N0.HOG0000578	OG0000529	-	WP_012679350.1	WP_012679350.1	WP_012678159.1
N0.HOG0000579	OG0000530	-	WP_012679364.1	WP_012678143.1	WP_012678143.1
N0.HOG0000580	OG0000531	-	WP_012679399.1	WP_206159007.1	WP_154803932.1
N0.HOG0000581	OG0000532	-	WP_012679435.1	WP_206159033.1	WP_154803914.1
N0.HOG0000582	OG0000533	-	WP_012679454.1	WP_206159053.1	WP_154803881.1
N0.HOG0000583	OG0000534	-	WP_012679532.1	WP_012677900.1	WP_012679532.1
N0.HOG0000584	OG0000535	-	WP_012679665.1	WP_037580927.1	WP_154803807.1
N0.HOG0000585	OG0000536	-	WP_012679734.1	WP_043030971.1	WP_043030971.1
N0.HOG0000586	OG0000537	-	WP_012679784.1	WP_206152444.1	WP_154803743.1
N0.HOG0000587	OG0000538	-	WP_012679789.1	WP_012679789.1	WP_043029897.1
